本日零時到現在累積雨量                                                          
07-NOV-2020 00:00 ～ 07-NOV-2020 23:00                          
      4.0mm 鳥嘴山   新竹縣尖石鄉                       
      4.0mm 太魯閣   花蓮縣秀林鄉                       
      4.0mm 臺南農改 臺南市新化區(合作站)                
      4.0mm 水林     雲林縣水林鄉                       
      4.0mm 梵梵(2)  宜蘭縣大同鄉(第1河川局)             
      4.0mm 口湖     雲林縣口湖鄉                       
      4.0mm 新瑪家   屏東縣瑪家鄉(第7河川局)             
      4.0mm 旭海     屏東縣牡丹鄉                       
      4.0mm 枋寮     屏東縣枋寮鄉                       
      4.0mm 鹿草     嘉義縣鹿草鄉                       
      4.0mm 泰武(2)  屏東縣泰武鄉(第7河川局)             
      4.0mm 太閣南   新竹縣五峰鄉(第2河川局)             
      4.0mm 北埔     花蓮縣新城鄉(第9河川局)             
      4.0mm 吉安光華 花蓮縣吉安鄉                       
      4.0mm 熊空山   新北市三峽區(十河局)                
      4.0mm 東富     花蓮縣光復鄉(第9河川局)             
      4.0mm 龜山島   宜蘭縣頭城鎮                       
      4.0mm 鹽埔     屏東縣鹽埔鄉                       
      4.0mm 鞍部     臺北市北投區(氣象站)                
      4.0mm 大坪頂   苗栗縣通霄鎮(第2河川局)             
      3.5mm 楓港     屏東縣枋山鄉                       
      3.5mm 白鷺     屏東縣來義鄉                       
      3.5mm 桶後     新北市烏來區                       
      3.5mm 花蓮     花蓮縣花蓮市(氣象站)                
      3.5mm 南田     臺東縣達仁鄉                       
      3.5mm 車城     屏東縣車城鄉                       
      3.5mm 東澳     宜蘭縣南澳鄉                       
      3.5mm 嘉義分場 嘉義縣鹿草鄉(合作站)                
      3.5mm 樂水國小 宜蘭縣大同鄉(水保局)                
      3.5mm 南天池   高雄市桃源區                       
      3.5mm 三地門   屏東縣內埔鄉                       
      3.5mm 大興     花蓮縣光復鄉(水保局)                
      3.5mm 獅潭     苗栗縣獅潭鄉                       
      3.5mm 思源     宜蘭縣大同鄉                       
      3.5mm 賓朗果園 臺東縣卑南鄉(合作站)                
      3.5mm 八卦     苗栗縣泰安鄉                       
      3.5mm 新城     花蓮縣新城鄉                       
      3.5mm 六腳     嘉義縣六腳鄉                       
      3.0mm 太麻里2  臺東縣太麻里鄉(合作站)              
      3.0mm 覽勝橋   新北市烏來區(十河局)                
      3.0mm 加路蘭山 花蓮縣豐濱鄉                       
      3.0mm 留茂安   宜蘭縣大同鄉(第1河川局)             
      3.0mm 新豐(1)  屏東縣高樹鄉(第7河川局)             
      3.0mm 水璉     花蓮縣壽豐鄉                       
      3.0mm 里港     屏東縣里港鄉                       
      3.0mm 三地門   屏東縣內埔鄉(第7河川局)             
      3.0mm 太保     嘉義縣太保市                       
      3.0mm 四湖     雲林縣四湖鄉                       
      3.0mm 蕃薯寮   花蓮縣壽豐鄉                       
      3.0mm 四季     宜蘭縣大同鄉(第1河川局)             
      3.0mm 大福     宜蘭縣壯圍鄉                       
